Fecha,Cantidad(kg),Cantidad(tn)
2006/01,10045884,10045.884
2006/02,1649731,1649.731
2006/03,654574,654.574
2006/04,90540,90.54
2006/05,239,0.239
2006/06,60,0.06
2006/07,40,0.04
2006/08,0,0
2006/09,0,0
2006/10,1401351,1401.351
2006/11,3964455,3964.455
2006/12,10062714,10062.714
2007/01,10467854,10467.854
2007/02,1985785,1985.785
2007/03,614384,614.384
2007/04,44760,44.76
2007/05,96640,96.64
2007/06,23630,23.63
2007/07,0,0
2007/08,0,0
2007/09,0,0
2007/10,441884,441.884
2007/11,3703015,3703.015
2007/12,8690472,8690.472
2008/01,13707510,13707.51
2008/02,9759900,9759.9
2008/03,2120808,2120.808
2008/04,334658,334.658
2008/05,56633,56.633
2008/06,67296,67.296
2008/07,16200,16.2
2008/08,0,0
2008/09,70828,70.828
2008/10,1203111,1203.111
2008/11,6434539,6434.539
2008/12,10111951,10111.951
2009/01,17933692,17933.692
2009/02,3642706,3642.706
2009/03,1694628,1694.628
2009/04,0,0
2009/05,203640,203.64
2009/06,110306,110.306
2009/07,20646,20.646
2009/08,10070,10.07
2009/09,37392,37.392
2009/10,2432724,2432.724
2009/11,10187810,10187.81
2009/12,23640692,23640.692
2010/01,19677160,19677.16
2010/02,8730012,8730.012
2010/03,1120498,1120.498
2010/04,78444,78.444
2010/05,76255,76.255
2010/06,19767,19.767
2010/07,5312,5.312
2010/08,18696,18.696
2010/09,120146,120.146
2010/10,2542341,2542.341
2010/11,15420759,15420.759
2010/12,28931856,28931.856
2011/01,26353154,26353.154
2011/02,13054174,13054.174
2011/03,3552937,3552.937
2011/04,971626,971.626
2011/05,17,0.017
2011/06,93490,93.49
2011/07,39216,39.216
2011/08,74784,74.784
2011/09,186960,186.96
2011/10,5356280,5356.28
2011/11,28231278,28231.278
2011/12,41901248,41901.248
2012/01,32274010,32274.01
2012/02,17603342,17603.342
2012/03,4440218,4440.218
2012/04,54546,54.546
2012/05,0,0
2012/06,0,0
2012/07,129888,129.888
2012/08,80147,80.147
2012/09,267373,267.373
2012/10,13426149,13426.149
2012/11,34899432,34899.432
2012/12,41044036,41044.036
2013/01,35777080,35777.08
2013/02,15977700,15977.7
2013/03,3521171,3521.171
2013/04,12000,12
2013/05,36428,36.428
2013/06,0,0
2013/07,71832,71.832
2013/08,55104,55.104
2013/09,128904,128.904
2013/10,9486608,9486.608
2013/11,47726160,47726.16
2013/12,63254604,63254.604
2014/01,51258020,51258.02
2014/02,37244704,37244.704
2014/03,12725555,12725.555
2014/04,1607066,1607.066
2014/05,515106,515.106
2014/06,237206,237.206
2014/07,89585,89.585
2014/08,476919,476.919
2014/09,3018704,3018.704
2014/10,23243908,23243.908
2014/11,60272256,60272.256
2014/12,75492992,75492.992
2015/01,66241012,66241.012
2015/02,34436120,34436.12
2015/03,11545090,11545.09
2015/04,1324755,1324.755
2015/05,552825,552.825
2015/06,767704,767.704
2015/07,752664,752.664
2015/08,1174603,1174.603
2015/09,3521567,3521.567
2015/10,30511312,30511.312
2015/11,66702980,66702.98
2015/12,90456512,90456.512
2016/01,53286727,53286.727
2016/02,34614361,34614.361
2016/03,9684625,9684.625
2016/04,1253532,1253.532
2016/05,561525,561.525
2016/06,66815,66.815
2016/07,260948,260.948
2016/08,1405863,1405.863
2016/09,4093321,4093.321
2016/10,24844667,24844.667
2016/11,64704524,64704.524
2016/12,90782395,90782.395
2017/01,64425214,64425.214
2017/02,38535215,38535.215
2017/03,15296528,15296.528
2017/04,1839814,1839.814
2017/05,59832,59.832
2017/06,591169,591.169
2017/07,69864,69.864
2017/08,972194,972.194
2017/09,1766097,1766.097
2017/10,12034580,12034.58
2017/11,42828977,42828.977
2017/12,91242318,91242.318
2018/01,65835436,65835.436
2018/02,31705318,31705.318
2018/03,7854586,7854.586
2018/04,1188763,1188.763
2018/05,99538,99.538
2018/06,140548,140.548
2018/07,607678,607.678
2018/08,1215144,1215.144
2018/09,2137751,2137.751
2018/10,25442216,25442.216
2018/11,70218814,70218.814
2018/12,115641629,115641.629
2019/01,89743185,89743.185
2019/02,42832916,42832.916
2019/03,7961623,7961.623
2019/04,1252012,1252.012
2019/05,82901,82.901
2019/06,93480,93.48
2019/07,518290,518.29
2019/08,1565249,1565.249
2019/09,4578660,4578.66
2019/10,31204558,31204.558
2019/11,62065157,62065.157
2019/12,106947835,106947.835
2020/01,97274886,97274.886
2020/02,55903572,55903.572
2020/03,9352051,9352.051
2020/04,653661,653.661
2020/05,195258,195.258
2020/06,438330,438.33
2020/07,1894102,1894.102
2020/08,2019568,2019.568
2020/09,3722333,3722.333
2020/10,31228672,31228.672
2020/11,79055475,79055.475
2020/12,133513733,133513.733
2021/01,119187096,119187.096
2021/02,66652817,66652.817
2021/03,10559499,10559.499
2021/04,743388,743.388
2021/05,592328,592.328
2021/06,837852,837.852
2021/07,2235484,2235.484
2021/08,2759119,2759.119
2021/09,4115752,4115.752
2021/10,31507028,31507.028
2021/11,97546318,97546.318
2021/12,153312378,153312.378
2022/01,112784402,112784.402
2022/02,78047151,78047.151
2022/03,17146178,17146.178
2022/04,4847935,4847.935
2022/05,1953246,1953.246
2022/06,1631705,1631.705
2022/07,2244960,2244.96
2022/08,2331896,2331.896
2022/09,3417522,3417.522
